cell,shock,clock,books,paired_gap_bps,cluster
wick-1block-night-b1,wick-1block,night,1,5432.807163,material
wick-1block-work-b1,wick-1block,work,1,5434.810087,material
wick-1block-night-b1,wick-1block,night,1,5440.639788,material
wick-1block-work-b1,wick-1block,work,1,5441.594672,material
wick-1block-night-b1,wick-1block,night,1,5450.778282,material
wick-1block-night-b1,wick-1block,night,1,5456.160226,material
wick-1block-work-b1,wick-1block,work,1,5459.060081,material
wick-1block-work-b3,wick-1block,work,3,5483.638166,material
wick-1block-night-b1,wick-1block,night,1,5489.259737,material
wick-1block-work-b1,wick-1block,work,1,5490.214088,material
wick-1block-night-b1,wick-1block,night,1,5505.671290,material
wick-1block-night-b1,wick-1block,night,1,5520.055799,material
